INFO 2026-02-15 00:55:00,134 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2026-02-15 00:55:00,134 basehttp "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
INFO 2026-02-15 00:55:03,125 basehttp "GET / HTTP/1.1" 200 67
INFO 2026-02-15 00:55:04,382 basehttp "GET / HTTP/1.1" 200 67
INFO 2026-02-15 01:04:35,927 autoreload Watching for file changes with StatReloader
INFO 2026-02-15 01:04:44,415 log "GET / HTTP/1.1" 200 67
WARNING 2026-02-15 01:04:45,100 log Not Found: /favicon.ico
WARNING 2026-02-15 01:04:45,130 log "GET /favicon.ico HTTP/1.1" 404 3587
INFO 2026-02-15 01:05:24,577 log "GET / HTTP/1.1" 200 67
INFO 2026-02-15 01:05:25,534 log "GET / HTTP/1.1" 200 67
INFO 2026-02-15 01:05:25,734 log "GET / HTTP/1.1" 200 67
INFO 2026-02-15 01:05:26,090 log "GET / HTTP/1.1" 200 67
INFO 2026-02-15 01:08:43,544 log "GET / HTTP/1.1" 200 67
INFO 2026-02-15 01:08:46,782 log "GET / HTTP/1.1" 200 67
WARNING 2026-02-15 01:08:47,125 log Not Found: /favicon.ico
WARNING 2026-02-15 01:08:47,126 log "GET /favicon.ico HTTP/1.1" 404 3587
INFO 2026-02-15 01:17:31,060 log "GET / HTTP/1.1" 200 67
INFO 2026-02-15 01:27:09,680 autoreload Watching for file changes with StatReloader
INFO 2026-02-15 01:27:45,028 autoreload Watching for file changes with StatReloader
INFO 2026-02-15 01:31:04,348 autoreload D:\FYP\Path2Prep\backend\scholarships\nlp_matcher.py changed, reloading.
INFO 2026-02-15 01:31:04,421 autoreload D:\FYP\Path2Prep\backend\scholarships\nlp_matcher.py changed, reloading.
INFO 2026-02-15 01:31:25,272 autoreload Watching for file changes with StatReloader
INFO 2026-02-15 01:31:33,859 autoreload Watching for file changes with StatReloader
INFO 2026-02-15 01:32:36,498 autoreload D:\FYP\Path2Prep\backend\scholarships\nlp_matcher.py changed, reloading.
INFO 2026-02-15 01:32:41,905 autoreload Watching for file changes with StatReloader
INFO 2026-02-15 09:54:26,861 autoreload Watching for file changes with StatReloader
INFO 2026-02-15 10:06:32,420 log "OPTIONS /api/auth/users/register/ HTTP/1.1" 200 0
INFO 2026-02-15 10:06:36,154 log "OPTIONS /api/auth/users/register/ HTTP/1.1" 200 0
INFO 2026-02-15 10:07:00,218 log "OPTIONS /api/auth/users/register/ HTTP/1.1" 200 0
INFO 2026-02-15 10:07:40,333 log "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2026-02-15 10:11:20,212 log "OPTIONS /api/auth/users/register/ HTTP/1.1" 200 0
WARNING 2026-02-15 10:11:20,230 log Unauthorized: /api/auth/users/register/
WARNING 2026-02-15 10:11:20,232 log "POST /api/auth/users/register/ HTTP/1.1" 401 58
WARNING 2026-02-15 10:13:23,155 log Unauthorized: /api/auth/users/register/
WARNING 2026-02-15 10:13:23,162 log "POST /api/auth/users/register/ HTTP/1.1" 401 58
INFO 2026-02-15 10:14:47,124 autoreload D:\FYP\Path2Prep\backend\accounts\views.py changed, reloading.
INFO 2026-02-15 10:14:48,039 autoreload D:\FYP\Path2Prep\backend\accounts\views.py changed, reloading.
INFO 2026-02-15 10:14:52,361 autoreload Watching for file changes with StatReloader
INFO 2026-02-15 10:14:57,381 autoreload Watching for file changes with StatReloader
INFO 2026-02-15 10:15:02,487 autoreload D:\FYP\Path2Prep\backend\accounts\views.py changed, reloading.
INFO 2026-02-15 10:15:02,983 autoreload D:\FYP\Path2Prep\backend\accounts\views.py changed, reloading.
INFO 2026-02-15 10:15:07,387 autoreload Watching for file changes with StatReloader
INFO 2026-02-15 10:15:07,564 autoreload Watching for file changes with StatReloader
INFO 2026-02-15 10:16:06,176 autoreload Watching for file changes with StatReloader
WARNING 2026-02-15 10:16:35,516 log Forbidden: /api/auth/users/register/
WARNING 2026-02-15 10:16:35,517 log "POST /api/auth/users/register/ HTTP/1.1" 403 63
INFO 2026-02-15 10:17:13,612 log "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
WARNING 2026-02-15 10:17:13,621 log Bad Request: /api/auth/login/
WARNING 2026-02-15 10:17:13,622 log "POST /api/auth/login/ HTTP/1.1" 400 40
